127.0.0.1 - - [01/Nov/2022:20:13:10 -0500] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:13:25 -0500] "GET /loan/index.jsp HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:13:26 -0500] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:13:54 -0500] "GET /loan/controller.jsp?amount=&interest=&type=C&period= HTTP/1.1" 500 428
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:14:04 -0500] "GET /loan/controller.jsp?amount=1000&interest=10&type=S&period=1 HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:14:18 -0500] "GET /loan/controller.jsp?amount=1000&interest=10&type=S&period=1 HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:17:50 -0500] "GET /loan/index.jsp HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:19:38 -0500] "GET /loan/index.jsp HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:20:11 -0500] "GET /loan/controller.jsp?amount=&interest=&type=C&type=S&period= HTTP/1.1" 500 428
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:27:04 -0500] "GET /loan/index.jsp HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:27:21 -0500] "GET /loan/index.jsp HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:27:29 -0500] "GET /loan/controller.jsp?amount=1000&interest=10&type=S&period=1 HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:36:50 -0500] "GET /loan/index.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:42:15 -0500] "GET /loan/controller.jsp?name=leihui+he&email=he001105%40stthomas.edu HTTP/1.1" 500 2369
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:42:46 -0500] "GET /loan/index.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:42:49 -0500] "GET /loan/welcome.jsp?name=leihui+he&email=he001105%40stthomas.edu HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [01/Nov/2022:20:45:25 -0500] "GET /loan/welcome.jsp?name=leihui+he&email=he001105%40stthomas HTTP/1.1" 200 309
